AD,election_district,pct_reported,zohran_kwame_mamdani,scott_m_stringer,selma_k_bartholomew,zellnor_myrie,adrienne_e_adams,andrew_m_cuomo,jessica_ramos,whitney_r_tilson,michael_blake,brad_lander,paperboy_love_prince,write_in
AD37-1,ED 71,80,0,0,0,0,0,0,0,0,0,0,0,0
AD61-1,ED 60,99,141,6,0,5,11,75,1,3,0,53,0,1
AD61-1,ED 61,99,148,9,0,6,11,175,4,16,1,70,0,0
AD61-1,ED 62,99,106,14,0,3,6,141,1,5,1,64,0,1
AD61-1,ED 63,99,118,20,0,7,10,166,0,13,1,71,0,0
AD61-1,ED 64,99,105,10,0,4,9,93,1,7,0,49,0,0
AD61-1,ED 65,99,109,11,0,5,12,187,1,8,2,69,2,1
AD61-1,ED 66,99,78,5,0,4,6,173,1,17,1,77,0,1
AD61-1,ED 67,99,189,1,0,5,11,102,0,5,1,64,0,0
AD61-1,ED 68,99,210,5,0,3,12,119,3,15,1,66,0,0
AD61-1,ED 69,99,0,0,0,0,0,0,0,0,0,0,0,0
AD61-1,ED 70,99,0,0,0,0,0,0,0,0,0,0,0,0
AD61-1,ED 71,99,0,0,0,0,0,0,0,0,0,0,0,0
AD61-1,ED 72,99,0,0,0,0,0,0,0,0,0,0,0,0
AD61-1,ED 73,99,0,0,0,0,0,0,0,0,0,0,0,0
AD61-1,ED 74,99,0,0,0,0,0,0,0,0,0,0,0,0
AD65-1,ED 1,99,172,11,0,8,2,94,2,8,1,60,0,0
AD65-1,ED 2,83.33,147,11,0,4,10,98,0,22,2,66,1,0
AD65-1,ED 3,99,204,8,0,5,8,108,2,15,1,53,0,0
AD65-1,ED 4,99,152,8,0,7,7,96,1,4,2,75,0,0
AD65-1,ED 5,99,177,10,1,5,7,58,1,5,1,49,0,0
AD65-1,ED 6,99,177,0,0,4,2,58,0,7,0,46,0,0
AD65-1,ED 7,99,124,33,0,5,19,167,0,17,3,61,0,4
AD65-1,ED 8,99,89,20,0,0,12,122,2,4,2,43,0,0
AD65-1,ED 9,83.33,136,5,0,4,18,108,0,7,1,77,0,0
AD65-1,ED 10,99,172,7,1,9,8,92,1,7,2,68,0,1
AD65-1,ED 11,83.33,83,3,0,1,4,32,0,4,1,34,0,0
AD65-1,ED 12,99,30,5,2,2,8,86,1,0,1,8,0,1
AD65-1,ED 13,99,133,4,0,2,5,92,2,4,0,16,1,1
AD65-1,ED 14,99,79,2,0,2,6,58,1,0,0,14,0,0
